"Authors","Author full names","Author(s) ID","Title","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","ISSN","ISBN","CODEN","EID"
"Baratta R.; Brunetti F.; Ugolini M.M.","Baratta, Rossella (57203115382); Brunetti, Federico (7003422877); Ugolini, Marta Maria (34877845200)","57203115382; 7003422877; 34877845200","‘Feel at home’ on vacation: exploring homeyness as a driver of tourists’ loyalty and pro-environmental behaviours","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175026443&doi=10.1080%2f13683500.2023.2273916&partnerID=40&md5=cf7c52761e33e3f5c6b984c18d1b2a41","Department of Management, University of Bergamo, Bergamo, Italy; Department of Management, University of Verona, Verona, Italy","Baratta R., Department of Management, University of Bergamo, Bergamo, Italy; Brunetti F., Department of Management, University of Verona, Verona, Italy; Ugolini M.M., Department of Management, University of Verona, Verona, Italy","Tourism research has increasingly highlighted the importance of encouraging tourists’ pro-environmental behaviours (PEBs), also because people’s PEBs are generally different at home and on holidays. Home, however, can be experienced also away from home, and ‘homeyness’ is a multidimensional concept which involves familiarity, authenticity and security of a place. Although recent research has shown the positive effect of home-like experiences on tourists’ satisfaction and loyalty, the link between homeyness and tourists’ PEBs has been substantially overlooked. Moreover, most research on tourists’ PEBs has been conducted addressing tourists’ attitudes and intentions, therefore, failing to consider possible attitude-behaviour gaps or social desirability bias. Given the relatively little research on homeyness in tourism, and its role in eliciting tourists’ PEBs, more research is needed. To fill this gap, this study explores the role of homeyness as a driver of tourists’ loyalty and PEBs, adopting tourist managers’ and operators’ perspectives. Qualitative research was conducted through in-depth interviews with a sample of 17 key stakeholders of the tourist destination of Lake Garda, Italy. The results show that familiarity, authenticity and security are key dimensions of the tourism experience provided at Lake Garda. Tourists who experience homeyness, in turn, develop destination loyalty and display higher PEBs. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","authenticity; destination loyalty; familiarity; homeyness; security; Tourists’ pro-environmental behaviours","13683500","","","2-s2.0-85175026443"
"Ye X.; Ren X.; Shang Y.; Liu J.; Feng H.; Zhang Y.","Ye, Xi (57734537300); Ren, Xuan (58626159100); Shang, Yuanzheng (58625766300); Liu, Jiayu (58626030500); Feng, Huangyu (58625903200); Zhang, Yun (58625903300)","57734537300; 58626159100; 58625766300; 58626030500; 58625903200; 58625903300","The role of urban green spaces in supporting active and healthy ageing: an exploration of behaviour–physical setting–gender correlations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172797976&doi=10.1108%2fARCH-04-2023-0096&partnerID=40&md5=69aff1271394e6918adc35b31c1b7903","Faculty of Humanities and Arts, Macau University of Science and Technology, Macao; University of Copenhagen, Copenhagen, Denmark","Ye X., Faculty of Humanities and Arts, Macau University of Science and Technology, Macao; Ren X., University of Copenhagen, Copenhagen, Denmark; Shang Y., Faculty of Humanities and Arts, Macau University of Science and Technology, Macao; Liu J., Faculty of Humanities and Arts, Macau University of Science and Technology, Macao; Feng H., Faculty of Humanities and Arts, Macau University of Science and Technology, Macao; Zhang Y., Faculty of Humanities and Arts, Macau University of Science and Technology, Macao","Purpose: Urban green spaces support people to approach active, healthy ageing, especially in high-density cities where they compensate for limited private living spaces. This research paper aims to examine how urban green spaces support active, healthy ageing by exploring correlations between behaviour, physical setting and gender difference among older people in a highly populated urban context. Design/methodology/approach: Urban parks in older neighbourhoods of Macau were selected for data collection. Photographic documentation was used to collect data, with 1,201 older people photographed identified as valid samples. Each was coded according to labels of behaviour, physical setting and gender. Chi-squared tests were conducted to assess correlations between behaviours and features of physical settings, and differences between genders in behaviours and physical settings. Logistic regression analysis was conducted to further examine associations between older people's behaviours and features of physical settings by gender. Findings: The research reveals types and frequency of behaviours displayed, preferred environmental features for different behaviours and gender differences in behaviours and preferred environmental features. Design principles targeting active, healthy ageing should consider particular amenities and street furniture, the arrangement of trees and landscapes and the integration of open and secluded places. Originality/value: Previous studies address older people's behaviour from the perspective of either environmental influence or gender difference, but there have been few studies on gendered behavioural differences among older people in urban green spaces. Analysing the behaviour–physical setting–gender relationship provides more evidence in the field of built environment studies. © 2023, Emerald Publishing Limited.","Active and healthy ageing; Environmental behaviour; Gender difference; High-density city; Physical setting; Urban green space","19387806","","","2-s2.0-85172797976"
"Syed-Abdullah S.I.S.","Syed-Abdullah, Sharifah Intan Sharina (57210246058)","57210246058","Why travel far to learn? A study of environmental behaviour change experience of residential outdoor environmental education participants","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147259686&doi=10.1080%2f14729679.2023.2170437&partnerID=40&md5=170466a539f506c4820e8b0282a0be66","Faculty of Educational Studies, Universiti Putra Malaysia, Serdang, Malaysia","Syed-Abdullah S.I.S., Faculty of Educational Studies, Universiti Putra Malaysia, Serdang, Malaysia","Residential outdoor environmental education (ROEE) is commonly used to educate people about the environment. This research focuses on the participants’ subjective perceptions of the impact of the drag and drop approach used in ROEE courses on changing their environmental behaviour and the extent to which the changes (if any) are sustained. The study adopted a narrative approach and used the transtheoretical model (TTM) as the theoretical framework for the investigation. Eleven former participants of the ROEE courses were interviewed. The interview data were analysed by using the method of individual narrative and thematic analysis. The study found that the ROEE courses did not change the participants’ environmental attitudes and behaviour in a significant way due to three explanations: i) sociocultural differences between locations; ii) unsuitable contents, and iii) discontinued learning experience and intervention. This study provides extensive suggestions of how the practice of ROEE courses can be improved which is based on the participants’ narrative of unsuccessful learning intervention approaches. © 2023 Institute for Outdoor Learning.","education for sustainable development; Outdoor environmental education; pro-environmental behaviour; retrospective study; transtheoretical model","14729679","","","2-s2.0-85147259686"
"Villani C.; Talamini G.","Villani, Caterina (57212250029); Talamini, Gianni (57212255364)","57212250029; 57212255364","Making Vulnerability Invisible: The Impact of COVID-19 on the Use of Public Space in Hong Kong","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176372611&doi=10.1177%2f0739456X231205795&partnerID=40&md5=5ec0cb44294109f0803040cd6f26970d","University College Dublin, Dublin, Ireland; City University of Hong Kong, Hong Kong","Villani C., University College Dublin, Dublin, Ireland; Talamini G., City University of Hong Kong, Hong Kong","Despite the growing body of work on how COVID-19 impacts the use of public space, few studies focused on vulnerable social groups. This article outlines a systematic analysis of the use of public space by migrant domestic workers before and after the pandemic outbreak in Hong Kong. The analysis reveals changes in behavioral patterns, and we discuss them as part of an ongoing conflictual renegotiation of rights and space alongside the dual nature of invisibility. The growing invisibility of migrant workers prompts unresolved questions of rights, spatial and recognitional justice, and acceptance of diversity in the global neoliberal city. © The Author(s) 2023.","behavior mapping; COVID-19; environment-behavior observations; Hong Kong; migrant domestic worker; mixed-method; public space; spatial justice; visibility; vulnerable social group","0739456X","","","2-s2.0-85176372611"
"Sun Y.; Lu X.; Cui J.; Du K.; Xie S.","Sun, Yuyu (57219130936); Lu, Xiaoxu (57219128761); Cui, Jian (55466886600); Du, Ke (36774240700); Xie, Shumin (57241018900)","57219130936; 57219128761; 55466886600; 36774240700; 57241018900","Effects of vicarious experiences of nature, environmental beliefs, and attitudes on adolescents’ environmental behavior","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153501031&doi=10.1080%2f13504622.2023.2202368&partnerID=40&md5=24a2525ac4790d6eb85c09e3921856ba","College of Teacher Education, Faculty of Education, East China Normal University, Shanghai, China; Institute of Botany, Jiangsu Province and Chinese Academy of Sciences, Nanjing, China; Department of Mechanical and Manufacturing Engineering, University of Calgary, Calgary, Canada","Sun Y., College of Teacher Education, Faculty of Education, East China Normal University, Shanghai, China; Lu X., College of Teacher Education, Faculty of Education, East China Normal University, Shanghai, China; Cui J., Institute of Botany, Jiangsu Province and Chinese Academy of Sciences, Nanjing, China; Du K., Department of Mechanical and Manufacturing Engineering, University of Calgary, Calgary, Canada; Xie S., College of Teacher Education, Faculty of Education, East China Normal University, Shanghai, China","This study explores the relationship between vicarious experiences of nature, environmental behavioral beliefs, environmental attitudes and adolescents’ environmental behavior. Based on a sample of 1476 adolescents from five high schools in Jiangsu Province, China, we proposed a model that was supported by structural equation modelling analysis. The model suggests that vicarious experiences of nature are positively associated with adolescents’ environmental behavior. Environmental attitudes and environmental behavioral beliefs play partial mediator roles in the relationship of vicarious experiences of nature and environmental behavior. In addition to the significant direct impact of vicarious experiences of nature on environmental behavior, indirect effects are also achieved through behavioral beliefs, environmental attitudes and the serial multiple mediation effect of the two variables. These research results imply that we must pay attention to the important role of vicarious experiences of nature in cultivating adolescents’ environmental behavior. In addition, the theoretical and practical implications of this research are discussed, as well as the limitations and potential for future research. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","adolescents; environmental attitudes; environmental behavior; environmental beliefs; Vicarious experiences of nature","13504622","","","2-s2.0-85153501031"
"Boncu Ș.; Candel O.-S.; Prundeanu O.; Popa N.L.","Boncu, Ștefan (24829231700); Candel, Octav-Sorin (57208552433); Prundeanu, Oara (57222339274); Popa, Nicoleta Laura (55147473700)","24829231700; 57208552433; 57222339274; 55147473700","Growing a digital iceberg for a polar bear: effects of a gamified mobile app on university students’ pro-environmental behaviours","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161570272&doi=10.1108%2fIJSHE-03-2023-0092&partnerID=40&md5=902517769d3f6a65537920429d4b47fb","Department of Psychology, Faculty of Psychology and Educational Sciences, Alexandru Ioan Cuza University of Iasi, Iasi, Romania; Department of Educational Sciences, Faculty of Psychology and Educational Sciences, Alexandru Ioan Cuza University of Iasi, Iasi, Romania","Boncu Ș., Department of Psychology, Faculty of Psychology and Educational Sciences, Alexandru Ioan Cuza University of Iasi, Iasi, Romania; Candel O.-S., Department of Psychology, Faculty of Psychology and Educational Sciences, Alexandru Ioan Cuza University of Iasi, Iasi, Romania; Prundeanu O., Department of Psychology, Faculty of Psychology and Educational Sciences, Alexandru Ioan Cuza University of Iasi, Iasi, Romania; Popa N.L., Department of Educational Sciences, Faculty of Psychology and Educational Sciences, Alexandru Ioan Cuza University of Iasi, Iasi, Romania","Purpose: Pro-environmental education incorporates digital technologies to enhance the level of pro-environmental behaviours (PEB) in young adults. Guided by gamified learning and self-directed informal learning theories, this study aims to examine the potential for the use of a gamified mobile app to increase students’ PEB. Also, it explores whether various pre-existing environmental attitudes and beliefs can moderate the effects. Design/methodology/approach: This quasi-experimental study proposed an eight-weeks intervention for undergraduate students based on using a mobile app. The authors evaluated the post-intervention differences in PEB between the intervention group and a control group. The effects of multiple moderators were also tested. Findings: Using the mobile app for eight weeks significantly improves the levels of PEB in the intervention group compared to the control group. None of the proposed interactions showed significant moderator effects. Originality/value: To the best of the authors’ knowledge, this study is the first one to verify the potential moderators accounting for the success of an environmental education approach using a mobile app. Also, it provides strong empirical support for the use of such educational strategy. Based on these findings, the authors suggest the use of gamified mobile apps as suitable tools for pro-environmental education, especially when targeting young adult or student populations. Moreover, using mobile apps providing self-directed informal learning, combined with gamification, can be used to enhance other desirable behaviours. © 2023, Emerald Publishing Limited.","Environmental attitudes; Environmental education; Environmental optimism; Gamified apps; Pro-environmental behaviours","14676370","","","2-s2.0-85161570272"
"Erskine O.M.; Gibson K.E.; Lamm A.J.; Holt J.","Erskine, Olivia M. (58487671500); Gibson, Kristin E. (57218573355); Lamm, Alexa J. (8726725000); Holt, Jessica (57206242355)","58487671500; 57218573355; 8726725000; 57206242355","Encouraging Water Protection through Donation: Examining the Effects of Intention to Engage in Personal Water Conservation Behaviors on Donation Behaviors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164818704&doi=10.3390%2fw15132365&partnerID=40&md5=2f91e1c599d3315f78afc8897b2d5a60","Department of Agricultural Leadership, Education and Communication, University of Georgia College of Agricultural and Environmental Sciences, Athens, 30602, GA, United States","Erskine O.M., Department of Agricultural Leadership, Education and Communication, University of Georgia College of Agricultural and Environmental Sciences, Athens, 30602, GA, United States; Gibson K.E., Department of Agricultural Leadership, Education and Communication, University of Georgia College of Agricultural and Environmental Sciences, Athens, 30602, GA, United States; Lamm A.J., Department of Agricultural Leadership, Education and Communication, University of Georgia College of Agricultural and Environmental Sciences, Athens, 30602, GA, United States; Holt J., Department of Agricultural Leadership, Education and Communication, University of Georgia College of Agricultural and Environmental Sciences, Athens, 30602, GA, United States","In many parts of the world, water scarcity is increasing due to climate change and the deterioration of the quantity and quality of water sources. In the southeastern U.S., water conservation is of particular concern because of the decades-long water war between the states of Florida, Georgia, and Alabama over two shared river basins. Individuals can only do so much to conserve water in their home, but different forms of donations can contribute to larger efforts resulting in greater environmental impact. Using a conceptual framework connecting self-identity to water conservation contribution engagement, the purpose of this study was to determine if personal water conservation behavioral intent impacted contributions to organizations supporting water conservation so effective communication strategies can be developed. Previous studies connected self-identity and intention to engage in pro-environmental behaviors, but there is a lack of research on the connection to water conservation donation behavior. Respondents were recruited to take an online survey using non-probability opt-in sampling. Self-reported intent to engage in water conservation behaviors, current contribution behaviors (if they donate to an organization that protects water, are a member of a water conservation organization, own a specialty license plate that supports water conservation, and volunteer for water conservation events), and total family income in the past year were obtained. Data were analyzed using point-biserial correlations and binary logistic regressions. The results indicated personal water conservation behavioral intent was positively correlated to water conservation contribution behaviors. Personal water conservation behavioral intent and income level were significant predictors of contribution behaviors. Environmental communicators and educators should encourage those who identify as conservationists to increase their self-identity through contributing to organizations. Future research should be conducted to determine if actual versus perceived discretionary income and/or time is a predictor of contributions. © 2023 by the authors.","climate change; conservation behavior; donation; intent to engage; self-identity; sustainability; water; water conservation","20734441","","","2-s2.0-85164818704"
"Arora A.; Aliani K.","Arora, Akshita (57190749793); Aliani, Khaoula (56626064100)","57190749793; 56626064100","Nexus between corporate environmental disclosures and gender diversity: Interaction effects of board independence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168469913&doi=10.1002%2fbse.3532&partnerID=40&md5=445b48ee37d57425ffb744fb4f2c6c95","Department of Management, Apeejay School of Management, New Delhi, India; Department of Business Administration, College of Business Administration, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia","Arora A., Department of Management, Apeejay School of Management, New Delhi, India; Aliani K., Department of Business Administration, College of Business Administration, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia","This study examines the impact of gender diversity (GD) in the board of directors on corporate environmental disclosures (ED). It develops an integrative theoretical framework to explore diverse facets of the nexus of GD and ED. Using Indian-listed firms for a sample period of 2015 to 2021, panel models have been used to validate the theoretical assumptions of the study. The empirical results reveal that women directors improve ED. Moreover, the role of women in driving environmental disclosure becomes evident only after achieving a critical mass of three directors. Our research contributes to the literature using board independence as moderator, for the first time in this context, and it was found that it moderates GD–ED relationship significantly. The findings could be beneficial for policymakers and regulators to recognize how GD is vital to firms to achieve best environmental practices. More initiatives may be deployed to reinforce women's representation in boardrooms for enhancing ED. Our study is one of the foremost studies to examine the impact of board GD on ED based on gender socialization, critical mass, and resource dependency theoretical framework. © 2023 ERP Environment and John Wiley & Sons Ltd.","board independence; environmental disclosure; gender diversity; panel data; women directors","09644733","","","2-s2.0-85168469913"
"Bhattarai U.; Lopatka A.; Devkota N.; Paudel U.R.; Németh P.","Bhattarai, Ujjwal (57929255400); Lopatka, Agnieszka (57219240188); Devkota, Niranjan (57205266523); Paudel, Udaya Raj (57205263192); Németh, Péter (58708957900)","57929255400; 57219240188; 57205266523; 57205263192; 58708957900","Influence of green human resource management on employees’ behavior through mediation of environmental knowledge of managers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175613730&doi=10.14254%2f2071-8330.2023%2f16-3%2f3&partnerID=40&md5=34c141bab68eb74c056f76890552e97d","Ace Institute of Management, Pokhara University, Kathmandu, Nepal; Institute of Economics and Finance, University of Szczecin, Poland; Kathmandu Model College, Tribhuvan University, Bagbazar, Kathmandu, Nepal; Quest International College, Pokhara University, Gwarko, Lalitpur, Nepal; Széchenyi István University, Győr, Hungary","Bhattarai U., Ace Institute of Management, Pokhara University, Kathmandu, Nepal; Lopatka A., Institute of Economics and Finance, University of Szczecin, Poland; Devkota N., Kathmandu Model College, Tribhuvan University, Bagbazar, Kathmandu, Nepal; Paudel U.R., Quest International College, Pokhara University, Gwarko, Lalitpur, Nepal; Németh P., Széchenyi István University, Győr, Hungary","Lately, there has been a rising awareness of the significance of becoming green and applying different environmental management strategies within the corporate community. This paper endeavours to explore the adoption of Green HRM practices by managers in Patan Industrial Estate. This study addresses the importance of knowledge development in relation to HRM practices and employee behavior. The goal is to see how Green HRM influences EGB in Patan Industrial Estate through mediation of managers' environmental knowledge. Exploratory research design was chosen as the primary study paradigm to determine the truth. The data was evaluated quantitatively by using both descriptive and inferential statistics. The associations between the 113 replies were analyzed using SEM. According to the findings of the study, environmental knowledge does not operate as a facilitator between Green HRM and EGB. This result is also theoretically significant in terms of the AMO theory. However, Green HRM is an emerging concept that deserves more attention. Employees and organizations must make even more changes to ensure that greening processes are implemented in all of their activities. General recommendations for successful implementation of Green HRM practices include revising the vision, mission and organization policies of an organization, ensuring its ISO certification, advancement of technologies, and enhancing GHRM practices by providing training and empowering employees, as well as participating in proactive government initiatives. © 2023, Centre of Sociological Research. All rights reserved.","EGB; environmental knowledge; GHRM; managers; Nepal; Patan industrial estate; pro-environmental behaviors; sustainability","20718330","","","2-s2.0-85175613730"
"Shah S.H.A.; Al-Ghazali B.M.; Bhatti S.; Aman N.; Fahlevi M.; Aljuaid M.; Hasan F.","Shah, Syed Haider Ali (57191737168); Al-Ghazali, Basheer M. (55250604400); Bhatti, Sabeen (57203870960); Aman, Nida (57759121900); Fahlevi, Mochammed (57211888309); Aljuaid, Mohammed (57164048100); Hasan, Fakhrul (57533601600)","57191737168; 55250604400; 57203870960; 57759121900; 57211888309; 57164048100; 57533601600","The Impact of Perceived CSR on Employees’ Pro-Environmental Behaviors: The Mediating Effects of Environmental Consciousness and Environmental Commitment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149941221&doi=10.3390%2fsu15054350&partnerID=40&md5=549c4f1488c6a078f229c89430f51e43","Business Studies Department, Bahria University, Islamabad, 44000, Pakistan; Department of Business Administration-DCC, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Lecturer in Business, International Business School, Teesside University, Middlesbrough, TS1 3BX, United Kingdom; Management Sciences Department, Bahria University, Islamabad, 44000, Pakistan; Management Department, BINUS Online Learning, Bina Nusantara University, Jakarta, 11480, Indonesia; Department of Health Administration, College of Business Administration, King Saud University, Riyadh, 11451, Saudi Arabia; Newcastle Business School, Northumbria University, Newcastle, NE7 7XA, United Kingdom","Shah S.H.A., Business Studies Department, Bahria University, Islamabad, 44000, Pakistan; Al-Ghazali B.M., Department of Business Administration-DCC, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia; Bhatti S., Lecturer in Business, International Business School, Teesside University, Middlesbrough, TS1 3BX, United Kingdom; Aman N., Management Sciences Department, Bahria University, Islamabad, 44000, Pakistan; Fahlevi M., Management Department, BINUS Online Learning, Bina Nusantara University, Jakarta, 11480, Indonesia; Aljuaid M., Department of Health Administration, College of Business Administration, King Saud University, Riyadh, 11451, Saudi Arabia; Hasan F., Newcastle Business School, Northumbria University, Newcastle, NE7 7XA, United Kingdom","Employees’ pro-environmental behaviors contribute to environmental sustainability. Drawing on social exchange theory, this research extends corporate social responsibility (CSR) literature by investigating the positive effect of perceived CSR on employees’ pro-environmental behaviors and exploring the mediating mechanisms of environmental consciousness and environmental commitment between perceived CSR and employees’ pro-environmental behaviors. Survey data were collected from 301 employees working in the textile manufacturing industry of Pakistan. The findings of this study demonstrate a positive direct impact of perceived CSR on pro-environmental behaviors. Moreover, environmental consciousness and environmental commitment mediated this relationship. Taken together, this study indicates that perceived CSR has three paths to impact employee pro-environmental behavior: direct effect, indirect effect via environmental consciousness, and indirect effect via environmental commitment. The contributions of this study include supporting social exchange theory and presenting pioneering evidence of environmental consciousness and environmental commitment mediating processes between perceived CSR and pro-environmental behaviors. This paper provides directions for future research and suggests practical implications for organizations. © 2023 by the authors.","corporate social responsibility; environmental commitment; environmental consciousness; pro-environmental behaviors; textile manufacturing industry","20711050","","","2-s2.0-85149941221"
